prop_id,building_name,num_beds,num_baths,price,sqft,dis_to_campus_[mi]
S1 (Studio),Union on Knox,1,1,1950,388,0.7
A1,Union on Knox,1,1,2250,463,0.7
B1,Union on Knox,2,2,1525,744,0.7
D1,Union on Knox,4,4,1250,1255,0.7
MURPHYA (Studio),The Hub,1,1,1959,369,0.6
1X1A,The Hub,1,1,2199,613,0.6
2X2A,The Hub,2,2,1145,1030,0.6
3X2B,The Hub,3,2,1575,1144,0.6
4X4A,The Hub,4,4,1325,1148,0.6
5X4THA,The Hub,5,5,1450,1864,0.6
S2 (Studio),Terrapin Row,1,1,2049,465,0.6
A1,Terrapin Row,1,1,2089,546,0.6
B1,Terrapin Row,2,2,989,982,0.6
C1,Terrapin Row,3,3,1469,1048,0.6
D1,Terrapin Row,4,4,1129,1079,0.6
Studio (Studio),University View,1,1,2049,unknown,0.8
2bed2bath,University View,2,2,1249,unknown,0.8
4bed4bath,University View,4,4,1219,unknown,0.8
4bed2bath,University View,4,2,1125,unknown,0.8
S1 (Studio),Tempo,1,1,1815,390,1.0
A1,Tempo,1,1,2100,492,1.0
B2,Tempo,2,2,1429,825,1.0
C1,Tempo,3,3,1425,839,1.0
D1-Combo,Tempo,4,4,1219,995,1.0
E1,Tempo,5,5,1295,1540,1.0
Aurora,Aspen Heights,1,1,2019,457,0.5
Frisco,Aspen Heights,2,2,1529,818,0.5
Telluride,Aspen Heights,3,3,1399,1029,0.5
Boulder A,Aspen Heights,4,4,1309,1274,0.5
Durango,Aspen Heights,5,5,1339,1507,0.5
Sutton (Studio),The Standard,1,1,1920,443,0.9
Avondale,The Standard,1,1,2499,610,0.9
Berkeley,The Standard,2,2,1429,718,0.9
Camden,The Standard,3,3,1399,1109,0.9
Derby,The Standard,4,4,1315,1366,0.9
Easton,The Standard,5,5,1195,1865,0.9
1B,The Varsity,1,1,497,2059,0.7
2B,The Varsity,2,2,1486,925,0.7
3A,The Varsity,3,3,1249,1112,0.7
4F,The Varsity,4,4,1199,1459,0.7
